,country_id,code,name_en,name_short_en,region_id
0,0,ABW,Aruba,Aruba,
1,1,AFG,Afghanistan,Afghanistan,6.0
2,2,AGO,Angola,Angola,1.0
3,3,AIA,Anguilla,Anguilla,
4,4,ALB,Albania,Albania,11.0
5,5,AND,Andorra,Andorra,
6,6,ANT,Netherlands Antilles,Netherlands Antilles,
7,7,ARE,United Arab Emirates,United Arab Emirates,8.0
8,8,ARG,Argentina,Argentina,15.0
9,9,ARM,Armenia,Armenia,8.0
10,10,ASM,American Samoa,American Samoa,
11,11,ATA,Antarctica,Antarctica,
12,12,ATF,French Southern and Antarctic Lands,French Southern and Antarctic Lands,
13,13,ATG,Antigua and Barbuda,Antigua and Barbuda,
14,14,AUS,Australia,Australia,17.0
15,15,AUT,Austria,Austria,12.0
16,16,AZE,Azerbaijan,Azerbaijan,8.0
17,17,BDI,Burundi,Burundi,0.0
18,18,BEL,Belgium,Belgium,12.0
19,19,BEN,Benin,Benin,4.0
20,20,BES,Bonaire,Bonaire,
21,21,BFA,Burkina Faso,Burkina Faso,4.0
22,22,BGD,Bangladesh,Bangladesh,6.0
23,23,BGR,Bulgaria,Bulgaria,9.0
24,24,BHR,Bahrain,Bahrain,8.0
25,25,BHS,Bahamas,Bahamas,13.0
26,26,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,11.0
27,27,BLM,Saint Barthélemy,Saint Barthélemy,
28,28,BLR,Belarus,Belarus,9.0
29,29,BLZ,Belize,Belize,14.0
30,30,BMU,Bermuda,Bermuda,
31,31,BOL,Bolivia (Plurinational State of),Bolivia,15.0
32,32,BRA,Brazil,Brazil,15.0
33,33,BRB,Barbados,Barbados,13.0
34,34,BRN,Brunei Darussalam,Brunei Darussalam,7.0
35,35,BTN,Bhutan,Bhutan,6.0
36,36,BVT,Bouvet Island,Bouvet Island,
37,37,BWA,Botswana,Botswana,3.0
38,38,CAF,Central African Republic,Central African Republic,1.0
39,39,CAN,Canada,Canada,16.0
40,40,CCK,Cocos (Keeling) Islands,Cocos (Keeling) Islands,
41,41,CHE,Switzerland,Switzerland,12.0
42,42,CHL,Chile,Chile,15.0
43,43,CHN,China,China,5.0
44,44,CIV,Côte d'Ivoire,Côte d'Ivoire,4.0
45,45,CMR,Cameroon,Cameroon,1.0
46,46,COD,Congo (Democratic Republic of the),Congo (Democratic Republic of the),1.0
47,47,COG,Congo,Congo,1.0
48,48,COK,Cook Islands,Cook Islands,
49,49,COL,Colombia,Colombia,15.0
50,50,COM,Comoros,Comoros,0.0
51,51,CPV,Cabo Verde,Cabo Verde,4.0
52,52,CRI,Costa Rica,Costa Rica,14.0
53,53,CSK,Czechoslovakia,Czechoslovakia,
54,54,CUB,Cuba,Cuba,13.0
55,55,CUW,Curaçao,Curaçao,13.0
56,56,CXR,Christmas Island,Christmas Island,
57,57,CYM,Cayman Islands,Cayman Islands,
58,58,CYP,Cyprus,Cyprus,8.0
59,59,CZE,Czech Republic,Czech Republic,9.0
60,60,DDR,Former Democratic Republic of Germany,Fmr Dem. Rep. of Germany,
61,61,DEU,Germany,Germany,12.0
62,62,DJI,Djibouti,Djibouti,0.0
63,63,DMA,Dominica,Dominica,
64,64,DNK,Denmark,Denmark,10.0
65,65,DOM,Dominican Republic,Dominican Republic,13.0
66,66,DZA,Algeria,Algeria,2.0
67,67,ECU,Ecuador,Ecuador,15.0
68,68,EGY,Egypt,Egypt,2.0
69,69,ERI,Eritrea,Eritrea,0.0
70,70,ESH,Western Sahara,Western Sahara,2.0
71,71,ESP,Spain,Spain,11.0
72,72,EST,Estonia,Estonia,10.0
73,73,ETH,Ethiopia,Ethiopia,0.0
74,74,FIN,Finland,Finland,10.0
75,75,FJI,Fiji,Fiji,18.0
76,76,FLK,Falkland Islands,Falkland Islands,
77,77,FRA,France,France,12.0
78,78,FRO,Faroe Islands,Faroe Islands,
79,79,FSM,Micronesia,Micronesia,
80,80,GAB,Gabon,Gabon,1.0
81,81,GBR,United Kingdom of Great Britain and Northern Ireland,United Kingdom,10.0
82,82,GEO,Georgia,Georgia,8.0
83,83,GHA,Ghana,Ghana,4.0
84,84,GIB,Gibraltar,Gibraltar,
